Store Type,Metric,Includes Online Sales,Period,Percentage Change,Term,Period Type
Same Stores,Net Sales,1,Sep '16,-3.4000000000000057,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Sep '16,2.0999999999999943,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Sep '16,-5.400000000000006,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Sep '16,-3.9000000000000057,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Sep '16,2.799999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Sep '16,-6.599999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Sep '16,-2.5,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Sep '16,3.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Sep '16,-5.299999999999997,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Oct '16,-0.5999999999999943,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Oct '16,4.200000000000003,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Oct '16,-4.599999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Oct '16,0.20000000000000284,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Oct '16,5.900000000000006,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Oct '16,-5.400000000000006,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Oct '16,0.20000000000000284,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Oct '16,5.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Oct '16,-4.599999999999994,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Nov '16,7.299999999999997,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Nov '16,4.099999999999994,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Nov '16,3.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Nov '16,7.700000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Nov '16,5.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Nov '16,2.5999999999999943,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Nov '16,7.799999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Nov '16,4.599999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Nov '16,3.0999999999999943,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Dec '16,-5.0,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Dec '16,-4.0,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Dec '16,-1.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Dec '16,-5.900000000000006,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Dec '16,-4.200000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Dec '16,-1.7000000000000028,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Dec '16,-5.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Dec '16,-4.099999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Dec '16,-0.9000000000000057,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Jan '17,-2.5,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Jan '17,-5.400000000000006,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Jan '17,3.0,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,0,Jan '17,-3.5999999999999943,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,0,Jan '17,-5.700000000000003,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,0,Jan '17,2.299999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Net Sales,1,Jan '17,-2.799999999999997,September 2016 to August 2017,Monthly
Directly-Run Stores,Customer Numbers,1,Jan '17,-5.599999999999994,September 2016 to August 2017,Monthly
Directly-Run Stores,Average Purchase per Customer,1,Jan '17,3.0999999999999943,September 2016 to August 2017,Monthly
Same Stores,Net Sales,1,Feb '17,5.200000000000003,September 2016 to August 2017,Monthly
Same Stores,Customer Numbers,1,Feb '17,3.9000000000000057,September 2016 to August 2017,Monthly
Same Stores,Average Purchase per Customer,1,Feb '17,1.2000000000000028,September 2016 to August 2017,Monthly
