Period,Openings,Closures,Term
August 2017,0.0,2.0,September 2016 to August 2017
July 2017,0.0,1.0,September 2016 to August 2017
June 2017,0.0,0.0,September 2016 to August 2017
May 2017,0.0,1.0,September 2016 to August 2017
April 2017,6.0,2.0,September 2016 to August 2017
March 2017,2.0,3.0,September 2016 to August 2017
February 2017,0.0,1.0,September 2016 to August 2017
January 2017,0.0,8.0,September 2016 to August 2017
December 2016,,,September 2016 to August 2017
November 2016,0.0,1.0,September 2016 to August 2017
October 2016,10.0,7.0,September 2016 to August 2017
September 2016,3.0,1.0,September 2016 to August 2017
August 2018,0.0,4.0,September 2017 to August 2018
July 2018,0.0,1.0,September 2017 to August 2018
June 2018,0.0,1.0,September 2017 to August 2018
May 2018,0.0,0.0,September 2017 to August 2018
April 2018,4.0,2.0,September 2017 to August 2018
March 2018,4.0,2.0,September 2017 to August 2018
February 2018,0.0,2.0,September 2017 to August 2018
January 2018,0.0,2.0,September 2017 to August 2018
December 2017,1.0,0.0,September 2017 to August 2018
November 2017,1.0,0.0,September 2017 to August 2018
October 2017,2.0,3.0,September 2017 to August 2018
September 2017,4.0,2.0,September 2017 to August 2018
August 2019,0.0,2.0,September 2018 to August 2019
July 2019,1.0,2.0,September 2018 to August 2019
June 2019,2.0,4.0,September 2018 to August 2019
May 2019,1.0,4.0,September 2018 to August 2019
April 2019,10.0,8.0,September 2018 to August 2019
March 2019,4.0,6.0,September 2018 to August 2019
February 2019,0.0,1.0,September 2018 to August 2019
January 2019,0.0,5.0,September 2018 to August 2019
December 2018,0.0,0.0,September 2018 to August 2019
November 2018,1.0,0.0,September 2018 to August 2019
October 2018,7.0,4.0,September 2018 to August 2019
September 2018,3.0,2.0,September 2018 to August 2019
August 2020,1.0,2.0,September 2019 to August 2020
July 2020,0.0,1.0,September 2019 to August 2020
June 2020,5.0,3.0,September 2019 to August 2020
May 2020,1.0,3.0,September 2019 to August 2020
April 2020,3.0,2.0,September 2019 to August 2020
March 2020,6.0,3.0,September 2019 to August 2020
February 2020,0.0,2.0,September 2019 to August 2020
January 2020,0.0,4.0,September 2019 to August 2020
December 2019,0.0,0.0,September 2019 to August 2020
November 2019,4.0,5.0,September 2019 to August 2020
October 2019,8.0,5.0,September 2019 to August 2020
September 2019,4.0,6.0,September 2019 to August 2020
September 2020,3.0,4.0,September 2020 to August 2021
October 2020,2.0,1.0,September 2020 to August 2021
November 2020,0.0,0.0,September 2020 to August 2021
December 2020,1.0,0.0,September 2020 to August 2021
January 2021,0.0,6.0,September 2020 to August 2021
February 2021,3.0,2.0,September 2020 to August 2021
March 2021,3.0,4.0,September 2020 to August 2021
April 2021,13.0,2.0,September 2020 to August 2021
May 2021,4.0,2.0,September 2020 to August 2021
June 2021,9.0,0.0,September 2020 to August 2021
July 2021,0.0,1.0,September 2020 to August 2021
August 2021,0.0,3.0,September 2020 to August 2021
September 2021,7.0,8.0,September 2021 to August 2022
October 2021,5.0,2.0,September 2021 to August 2022
November 2021,0.0,1.0,September 2021 to August 2022
December 2021,0.0,1.0,September 2021 to August 2022
January 2022,0.0,6.0,September 2021 to August 2022
February 2022,0.0,2.0,September 2021 to August 2022
March 2022,6.0,2.0,September 2021 to August 2022
April 2022,14.0,4.0,September 2021 to August 2022
May 2022,0.0,1.0,September 2021 to August 2022
June 2022,5.0,1.0,September 2021 to August 2022
July 2022,6.0,1.0,September 2021 to August 2022
August 2022,6.0,1.0,September 2021 to August 2022
September 2022,3.0,2.0,September 2022 to August 2023
October 2022,9.0,7.0,September 2022 to August 2023
November 2022,2.0,0.0,September 2022 to August 2023
December 2022,0.0,0.0,September 2022 to August 2023
January 2023,0.0,7.0,September 2022 to August 2023
February 2023,0.0,0.0,September 2022 to August 2023
March 2023,4.0,8.0,September 2022 to August 2023
April 2023,14.0,9.0,September 2022 to August 2023
May 2023,1.0,2.0,September 2022 to August 2023
June 2023,1.0,3.0,September 2022 to August 2023
