Period,Openings,Closures,Term
August 2017,0.0,2.0,September 2016 to August 2017
July 2017,0.0,1.0,September 2016 to August 2017
June 2017,0.0,0.0,September 2016 to August 2017
May 2017,0.0,1.0,September 2016 to August 2017
April 2017,6.0,2.0,September 2016 to August 2017
March 2017,2.0,3.0,September 2016 to August 2017
February 2017,0.0,1.0,September 2016 to August 2017
January 2017,0.0,8.0,September 2016 to August 2017
December 2016,,,September 2016 to August 2017
November 2016,0.0,1.0,September 2016 to August 2017
October 2016,10.0,7.0,September 2016 to August 2017
September 2016,3.0,1.0,September 2016 to August 2017
